iter	Passed	Remaining
656	1174	613
657	1176	611
658	1177	609
659	1179	607
660	1180	605
661	1182	603
662	1183	601
663	1185	599
664	1186	597
665	1188	595
666	1189	593
667	1190	591
668	1192	589
669	1193	588
670	1195	586
671	1197	584
672	1198	582
673	1200	580
674	1201	578
675	1203	576
676	1204	574
677	1206	573
678	1208	571
679	1209	569
680	1211	567
681	1212	565
682	1214	563
683	1216	561
684	1217	559
685	1218	557
686	1220	556
687	1222	554
688	1223	552
689	1225	550
690	1226	548
691	1228	546
692	1229	544
693	1231	542
694	1232	540
695	1234	539
696	1235	537
697	1237	535
698	1238	533
699	1240	531
700	1241	529
701	1243	527
702	1244	525
703	1246	524
704	1247	522
705	1249	520
706	1250	518
707	1252	516
708	1253	514
709	1255	512
710	1256	510
711	1258	508
712	1259	507
713	1261	505
714	1262	503
715	1264	501
716	1265	499
717	1267	497
718	1268	495
719	1269	493
720	1271	492
721	1272	490
722	1274	488
723	1276	486
724	1277	484
725	1279	482
726	1280	480
727	1282	479
728	1283	477
729	1285	475
730	1286	473
731	1288	471
732	1289	469
733	1291	467
734	1292	466
735	1294	464
736	1295	462
737	1297	460
738	1299	458
739	1300	457
740	1302	455
741	1303	453
742	1305	451
743	1307	449
744	1308	447
745	1310	446
746	1311	444
747	1313	442
748	1314	440
749	1316	438
750	1318	436
751	1319	435
752	1321	433
753	1322	431
754	1324	429
755	1325	427
756	1327	426
757	1328	424
758	1330	422
759	1331	420
760	1333	418
761	1334	416
762	1336	415
763	1337	413
764	1339	411
765	1340	409
766	1342	407
767	1343	405
768	1345	404
769	1347	402
770	1348	400
771	1349	398
772	1351	396
773	1352	395
774	1354	393
775	1355	391
776	1357	389
777	1358	387
778	1360	385
779	1362	384
780	1363	382
781	1365	380
782	1366	378
783	1368	377
784	1369	375
785	1371	373
786	1372	371
787	1374	369
788	1375	367
789	1377	366
790	1378	364
791	1380	362
792	1381	360
793	1383	358
794	1385	357
795	1386	355
796	1387	353
797	1389	351
798	1391	349
799	1392	348
800	1394	346
801	1395	344
802	1397	342
803	1398	341
804	1400	339
805	1401	337
806	1403	335
807	1405	333
808	1406	332
809	1408	330
810	1409	328
811	1410	326
812	1412	324
813	1413	323
814	1415	321
815	1416	319
816	1418	317
817	1419	315
818	1421	314
819	1422	312
820	1423	310
821	1425	308
822	1426	306
823	1428	305
824	1429	303
825	1431	301
826	1432	299
827	1433	297
828	1435	296
829	1436	294
830	1438	292
831	1439	290
832	1441	288
833	1442	287
834	1443	285
835	1445	283
836	1446	281
837	1448	279
838	1449	278
839	1450	276
840	1452	274
841	1453	272
842	1455	271
843	1456	269
844	1458	267
